Equipo,Peso,Tipo_Equipo,Fecha,Resultado_1X2,avg_Goles_esperados_(xG)_total,avg_Posesión_total,avg_Remates_a_puerta_total,avg_Córneres_total,avg_Tarjetas_amarillas_total,avg_Faltas_total,avg_Paradas_total,avg_Pases_Pct_total,avg_Pases_Exitosos_total,avg_Goles_total,avg_Ptos_total,avg_xGA_total,avg_xG_Share_total,avg_Remates_Puerta_Share_total,avg_Corneres_Share_total,avg_Paradas_Share_total,avg_Pases_Exitosos_Share_total,avg_Goles_Share_total,avg_Puntos_Share_total,avg_Valor_Mercado_Millones_Eur_Share_total,avg_h2h_win_rate_total,avg_h2h_goles_avg_total,avg__sentinel_total,avg_Puntos_total,avg_Goles_esperados_(xG)_2,avg_Posesión_2,avg_Remates_a_puerta_2,avg_Córneres_2,avg_Tarjetas_amarillas_2,avg_Faltas_2,avg_Paradas_2,avg_Pases_Pct_2,avg_Pases_Exitosos_2,avg_Goles_2,avg_Ptos_2,avg_xGA_2,avg_xG_Share_2,avg_Remates_Puerta_Share_2,avg_Corneres_Share_2,avg_Paradas_Share_2,avg_Pases_Exitosos_Share_2,avg_Goles_Share_2,avg_Puntos_Share_2,avg_Valor_Mercado_Millones_Eur_Share_2,avg_h2h_win_rate_2,avg_h2h_goles_avg_2,avg__sentinel_2,avg_Puntos_2,avg_Goles_esperados_(xG)_3,avg_Posesión_3,avg_Remates_a_puerta_3,avg_Córneres_3,avg_Tarjetas_amarillas_3,avg_Faltas_3,avg_Paradas_3,avg_Pases_Pct_3,avg_Pases_Exitosos_3,avg_Goles_3,avg_Ptos_3,avg_xGA_3,avg_xG_Share_3,avg_Remates_Puerta_Share_3,avg_Corneres_Share_3,avg_Paradas_Share_3,avg_Pases_Exitosos_Share_3,avg_Goles_Share_3,avg_Puntos_Share_3,avg_Valor_Mercado_Millones_Eur_Share_3,avg_h2h_win_rate_3,avg_h2h_goles_avg_3,avg__sentinel_3,avg_Puntos_3,avg_Goles_esperados_(xG)_5,avg_Posesión_5,avg_Remates_a_puerta_5,avg_Córneres_5,avg_Tarjetas_amarillas_5,avg_Faltas_5,avg_Paradas_5,avg_Pases_Pct_5,avg_Pases_Exitosos_5,avg_Goles_5,avg_Ptos_5,avg_xGA_5,avg_xG_Share_5,avg_Remates_Puerta_Share_5,avg_Corneres_Share_5,avg_Paradas_Share_5,avg_Pases_Exitosos_Share_5,avg_Goles_Share_5,avg_Puntos_Share_5,avg_Valor_Mercado_Millones_Eur_Share_5,avg_h2h_win_rate_5,avg_h2h_goles_avg_5,avg__sentinel_5,avg_Puntos_5,clean_sheet_rate_5,trend_xG_5,forma_vs_historia,Puntos,Valor_Mercado_Millones_Eur
Suiza,1.0,Local,2026-06-24 00:01:00,1,1.5659803921568627,0.5701960784313725,4.627450980392157,5.588235294117647,1.9019607843137254,11.372549019607844,2.372549019607843,0.8649019607843137,482.72549019607845,1.7058823529411764,1.6470588235294117,1.0270392156862744,0.6054085935510556,0.5880605777664601,0.5758877964646495,0.4504746342981637,0.6012180304326101,0.5857142857142857,0.5265791027184762,0.6102948546733867,0.3758169934640523,1.5599246945154874,0.0,1634.131568627451,1.5899999999999996,0.585,5.5,4.5,1.0,13.0,4.0,0.855,442.5,3.0,3.0,0.9450000000000002,0.6512205083095096,0.5318181818181819,0.4611111111111111,0.5750000000000002,0.6095763932129514,0.7333333333333334,0.5289543931483089,0.6601970500684788,0.3333333333333333,1.6008454106280192,0.0,1649.4,2.126666666666667,0.6166666666666667,6.0,6.333333333333333,1.0,12.333333333333334,3.6666666666666665,0.8733333333333334,470.6666666666667,2.3333333333333335,2.3333333333333335,0.8300000000000001,0.714848759925638,0.5878787878787878,0.5638176638176637,0.5083333333333333,0.6480165409131736,0.6555555555555556,0.529742010143558,0.7546292520275547,0.3333333333333333,1.6008454106280192,0.0,1649.4,1.7080000000000002,0.608,4.4,5.6,1.4200000000000002,11.0,2.6,0.8779999999999999,500.8,1.6,1.8,0.806,0.6632276233023215,0.5727272727272726,0.5605128205128205,0.4716666666666667,0.6302709899143135,0.5933333333333334,0.5231387151982656,0.6870812288714354,0.3333333333333333,1.6008454106280192,0.0,1650.458,0.2,0.14000000000000004,1.0153383835221934,1649.4,12.79
Catar,0.7,Visitante,2026-06-24 00:01:00,1,1.4237714285714287,0.5448571428571428,4.285714285714286,4.714285714285714,1.8714285714285714,11.085714285714285,2.5142857142857142,0.7625714285714286,348.37142857142857,1.6,1.7142857142857142,1.154057142857143,0.5441630330364611,0.5004404465749004,0.515827664399093,0.5468820861678004,0.5488788352988199,0.5511111111111111,0.523952151374991,0.5066286030070772,0.4380952380952381,1.849102829537612,0.0,1449.3945714285715,0.4950000000000005,0.3350000000000002,1.5,3.0,1.0,12.0,3.5,0.745,237.5,0.5,0.0,2.6399999999999997,0.2883388181427958,0.1875,0.27500000000000013,0.8,0.30940135875486074,0.125,0.4976549318254281,0.1054438690491335,0.3333333333333333,1.6008454106280192,0.0,1454.96,0.53,0.32999999999999996,2.0,3.0,1.3333333333333333,12.0,4.0,0.7366666666666667,225.0,0.6666666666666666,0.3333333333333333,2.8266666666666667,0.24485745770923226,0.225,0.2602564102564103,0.7416666666666667,0.29796862706536803,0.25,0.4879975398389332,0.08913136071752015,0.3333333333333333,1.6008454106280192,0.0,1454.96,0.598,0.4119999999999999,1.6,3.0,1.5,12.4,3.4,0.792,296.8,0.4,0.4,2.304,0.2751550272464252,0.23499999999999996,0.3018681318681319,0.7283333333333333,0.3958111852239467,0.25,0.5020026231992019,0.2239305415803241,0.3333333333333333,1.6008454106280192,0.0,1454.96,0.0,-0.0040000000000000036,0.3476681650345163,1454.96,0.766
Canadá,0.75,Visitante,2026-06-24 00:01:00,1,1.6746666666666667,0.5217777777777778,4.8133333333333335,6.413333333333334,1.9711111111111113,14.0,2.1822222222222223,0.8121777777777778,346.4555555555556,2.0,1.8222222222222222,0.9688222222222223,0.6105832487747281,0.5936533533426189,0.6039308773219169,0.40784904622074275,0.530632801552348,0.6518518518518518,0.5099274539971366,0.7089201096095191,0.4037037037037037,1.6205448201825012,0.0,1452.3664444444444,3.13,0.6199999999999999,8.5,13.0,1.5,11.0,1.0000000000000004,0.855,393.0,3.5,1.5,0.6699999999999999,0.7757395743156512,0.8181818181818183,0.8638888888888889,0.1250000000000001,0.6277122879644588,0.6666666666666667,0.5011818013897644,0.6414172381590242,0.3333333333333333,1.6008454106280192,0.0,1556.48,2.4966666666666666,0.6166666666666667,7.0,11.666666666666666,1.6666666666666667,10.666666666666666,1.3333333333333333,0.8166666666666668,365.3333333333333,2.6666666666666665,1.3333333333333333,0.7733333333333334,0.7026800782013845,0.7359307359307358,0.8066951566951567,0.3055555555555555,0.6328593676332908,0.6111111111111112,0.5104537095138375,0.6195230721110401,0.3333333333333333,1.6008454106280192,0.0,1556.48,1.9259999999999997,0.608,5.4,10.8,1.8,10.0,1.6,0.826,381.4,2.2,1.6,0.974,0.6041060367358936,0.6548917748917749,0.774017094017094,0.3833333333333333,0.6275865446359933,0.6666666666666667,0.5132924851797115,0.6284601550588074,0.3333333333333333,1.6008454106280192,0.0,1556.48,0.2,0.49499999999999994,1.869028662420382,1556.48,7.64
Bosnia-Herzegovina,1.0,Local,2026-06-24 00:01:00,1,1.2625652173913045,0.4856521739130435,4.1521739130434785,4.869565217391305,2.3086956521739133,13.119565217391305,1.9282608695652175,0.8052826086956522,359.83043478260873,1.2173913043478262,1.173913043478261,1.270891304347826,0.49109545207501915,0.5187787755722538,0.52589205226505,0.4499126568691786,0.4930717358535678,0.46526915113871636,0.4958969486827112,0.5870368805994319,0.3079710144927536,1.3642091997479522,0.0,1373.9139130434783,0.4549999999999998,0.4599999999999999,4.0,4.0,1.5,13.5,2.5,0.845,369.5,2.0,1.5,1.4150000000000005,0.28470109923204334,0.4625000000000001,0.4000000000000001,0.5,0.453309960067729,0.475,0.47220887363649855,0.5929418427233634,0.3333333333333333,1.6008454106280192,0.0,1385.84,0.6300000000000002,0.4366666666666667,3.6666666666666665,4.0,2.0,15.666666666666666,2.0,0.7733333333333333,303.6666666666667,1.6666666666666667,1.3333333333333333,1.3533333333333335,0.3376137041637454,0.4511904761904762,0.36923076923076925,0.4444444444444444,0.4211554643881678,0.48333333333333334,0.47180674050367105,0.5367163151438851,0.3333333333333333,1.6008454106280192,0.0,1385.84,1.0582,0.506,4.0,4.8,1.2,13.3,2.34,0.8186,396.24,1.2,1.2,1.1765999999999999,0.4643153138441719,0.5040476190476191,0.46013495276653166,0.4624864864864865,0.5118043589848125,0.49000000000000005,0.4782947974260748,0.64443907303209,0.3333333333333333,1.6008454106280192,0.0,1385.84,0.2,-0.39060000000000006,0.3603774234649952,1385.84,5.63
Ecuador,0.95,Local,2026-06-25 00:01:00,1,1.2679333333333334,0.5175555555555555,3.597777777777778,4.362222222222223,1.8311111111111111,13.164444444444444,2.208888888888889,0.7966222222222222,361.4488888888889,0.9777777777777777,1.488888888888889,0.9364888888888888,0.5595523165158973,0.5619272347352058,0.5472023464174967,0.4491858322266949,0.5196614493791144,0.5666666666666667,0.48941435435136654,0.647887761994502,0.29444444444444445,1.1962828770799785,0.0,1500.3664444444446,2.055,0.5700000000000001,9.0,6.0,2.0,10.999999999999998,2.5,0.865,446.5,1.0,2.0,0.575,0.755878867265469,0.6666666666666665,0.8,0.41666666666666663,0.5807460959149742,0.5833333333333333,0.51577364751962,0.607457579118471,0.3333333333333333,1.6008454106280192,0.0,1594.78,1.7099999999999997,0.5533333333333336,6.333333333333333,5.666666666666667,1.6666666666666667,11.666666666666666,2.6666666666666665,0.86,437.3333333333333,0.6666666666666666,1.3333333333333333,0.89,0.6377775125601814,0.5111111111111111,0.7416666666666667,0.5277777777777778,0.5583241946622701,0.38888888888888884,0.5138088565546305,0.5429363039618372,0.3333333333333333,1.6008454106280192,0.0,1594.78,1.8719999999999999,0.608,5.6,6.6,2.0,12.4,1.8000000000000003,0.8800000000000001,511.4,1.2,1.6,0.614,0.7489686784886043,0.6566666666666666,0.8116666666666668,0.3833333333333333,0.6241547348589013,0.5333333333333333,0.5157484355914728,0.5867688416293178,0.26666666666666666,1.4806763285024154,0.0,1594.1699999999998,0.4,-0.04300000000000002,1.6207476733792525,1594.78,14.18
Marruecos,0.6,Local,2026-06-25 00:01:00,1,1.8883863636363636,0.5588636363636363,5.1431818181818185,4.8,1.2818181818181817,13.368181818181819,1.6227272727272728,0.8722727272727273,445.30227272727274,2.488372093023256,2.4318181818181817,0.6967727272727273,0.7154806527515145,0.7248664533906191,0.6061629072056879,0.3445172882672883,0.5718574433946834,0.8045454545454546,0.5524980630070997,0.7945019604924273,0.5,1.9551218708827405,0.0,1646.3918181818183,2.38,0.64,6.5,7.0,0.5,9.0,0.5,0.89,538.5,2.5,3.0,0.5950000000000002,0.753326600926696,0.9230769230769231,0.8071428571428572,0.055555555555555663,0.6569770580296896,0.8333333333333333,0.557859655450266,0.8067230942548937,0.3333333333333333,1.6008454106280192,0.0,1755.87,2.04,0.59,5.333333333333333,5.333333333333333,0.3333333333333333,10.666666666666666,1.6666666666666667,0.88,498.6666666666667,2.0,2.3333333333333335,0.8166666666666665,0.6752457237730137,0.7403846153846153,0.6214285714285714,0.25925925925925924,0.5988910033561986,0.7222222222222222,0.5383224186331931,0.6462810046355376,0.3333333333333333,1.6008454106280192,0.0,1755.87,2.202,0.586,6.0,6.2,0.7999999999999999,10.0,1.4,0.8939999999999999,502.4,2.2,2.2,0.7,0.7156053973533503,0.7670879120879122,0.6003296703296703,0.22888888888888886,0.5974798380162847,0.7333333333333333,0.5478453590914633,0.6708290332851787,0.3333333333333333,1.6008454106280192,0.0,1755.87,0.2,0.002999999999999936,1.2603353031087148,1755.87,17.22
Alemania,1.0,Visitante,2026-06-25 00:01:00,1,2.278695652173913,0.6441304347826087,6.804347826086956,6.173913043478261,1.797826086956522,10.717391304347826,2.0434782608695654,0.8899999999999999,595.0217391304348,2.652173913043478,2.108695652173913,0.9217826086956522,0.7018834609247699,0.6778569860091599,0.6432427156532016,0.3192885013537187,0.6886932778051578,0.68574016563147,0.5291846007904599,0.7893627138357171,0.3840579710144928,1.7345358118042427,0.0,1670.5097826086956,1.2699999999999991,0.6,5.0,5.0,0.9,7.5,1.0,0.88,536.0,1.5,1.5,1.245,0.4731293542336548,0.6388888888888888,0.5636363636363637,0.2500000000000001,0.6127976104812269,0.4999999999999999,0.5253160076867315,0.6821823078806534,0.3333333333333333,1.6008454106280192,0.0,1730.37,2.2533333333333334,0.6166666666666667,7.333333333333333,6.0,1.3666666666666665,11.0,1.0,0.8766666666666666,542.0,3.3333333333333335,2.0,0.9666666666666667,0.6192352642335237,0.7116402116402116,0.6720538720538722,0.23333333333333336,0.6294248822665914,0.625,0.5408837913077196,0.7792916935326174,0.3333333333333333,1.6008454106280192,0.0,1730.37,2.2399999999999998,0.6,6.4,5.8,1.6199999999999999,10.2,1.2,0.874,525.2,2.8,2.4,0.89,0.660910346778365,0.6984126984126984,0.575027195027195,0.25999999999999995,0.6121941017733544,0.6416666666666667,0.5383431586374761,0.7700364260614269,0.3333333333333333,1.6008454106280192,0.0,1729.1259999999997,0.2,-0.41500000000000004,0.557336386185842,1730.37,36.42
Escocia,1.0,Local,2026-06-25 00:01:00,2,1.2575625,0.484375,3.8958333333333335,4.916666666666667,1.78125,11.375,2.8125,0.830625,385.8333333333333,1.5416666666666667,1.7291666666666667,1.3167083333333334,0.49900960108557385,0.48777293308543307,0.5509575255898785,0.5654017857142858,0.479330048398382,0.5909722222222222,0.5050422589575332,0.482204019414658,0.4201388888888889,1.544207930756844,0.0,1475.8385416666667,0.7849999999999996,0.4349999999999999,2.5,4.5,1.0,10.5,3.0,0.875,419.0,0.0,0.0,2.669999999999999,0.2684552289815448,0.17857142857142858,0.41208791208791207,0.75,0.41824976642790396,0.0,0.46005928653682465,0.21529350556242882,0.3333333333333333,1.6008454106280192,0.0,1498.35,0.8733333333333332,0.4433333333333333,2.3333333333333335,4.0,1.6666666666666667,14.0,2.6666666666666665,0.8566666666666666,381.6666666666667,0.3333333333333333,1.0,2.1266666666666665,0.34643426748689915,0.28571428571428575,0.4175824175824176,0.7222222222222222,0.43066304903304387,0.3333333333333333,0.4857166782542152,0.39448685811441625,0.3333333333333333,1.6008454106280192,0.0,1498.35,1.332,0.454,3.8,5.0,1.48,13.4,2.8,0.8719999999999999,391.0,1.0,1.2,1.722,0.45748554260981533,0.4311688311688312,0.5005494505494505,0.6690476190476191,0.4432583120744266,0.4,0.49688536208626743,0.4673503316982005,0.3333333333333333,1.6008454106280192,0.0,1500.0339999999999,0.2,-0.23399999999999999,0.6242234481387602,1498.35,6.55
Corea del Sur,0.7,Visitante,2026-06-25 00:01:00,1,1.8215555555555556,0.6655555555555556,5.666666666666667,7.2444444444444445,1.3466666666666667,11.466666666666667,1.488888888888889,0.820288888888889,517.7355555555555,1.8444444444444446,1.9333333333333333,0.708,0.7287053364733058,0.7062626262626263,0.7174943683767214,0.2778691678691679,0.6761095640022003,0.6470370370370371,0.5380289147319992,0.7921782995471356,0.4185185185185185,1.670155662909286,0.0,1541.2555555555555,0.91,0.63,2.5,4.0,1.5,8.0,3.0,0.865,564.5,0.0,0.0,0.8399999999999999,0.5379885814668424,0.380952380952381,0.8,0.6,0.6406458640803991,0.0,0.5061008784193088,0.5796086809338015,0.3333333333333333,1.6008454106280192,0.0,1588.66,1.3733333333333333,0.6233333333333334,3.6666666666666665,4.0,1.3333333333333333,8.333333333333334,3.0,0.8666666666666667,532.6666666666666,0.6666666666666666,1.0,0.8366666666666666,0.6036004813612815,0.45396825396825397,0.6814814814814816,0.5428571428571428,0.6507500801070091,0.2222222222222222,0.5087748504551831,0.5280525969264792,0.3333333333333333,1.6008454106280192,0.0,1588.66,1.1960000000000002,0.608,4.0,5.2,1.6,10.6,1.8,0.8540000000000001,485.8,0.6,1.2,0.608,0.6695457715510889,0.6057142857142856,0.6888888888888889,0.32571428571428573,0.6267195492062279,0.3333333333333333,0.5186169609466996,0.5791113362199637,0.3333333333333333,1.6008454106280192,0.0,1590.818,0.4,0.016000000000000025,0.4995730145175064,1588.66,5.35
República Checa,1.0,Local,2026-06-25 00:01:00,2,1.605,0.5023913043478261,4.8478260869565215,5.586956521739131,1.7413043478260868,13.434782608695652,2.2804347826086957,0.7902173913043479,357.10869565217394,1.5,1.4782608695652173,1.1274565217391304,0.574931976829529,0.5602433496455236,0.6176226852857287,0.42846739515743726,0.5041971341161766,0.5409420289855073,0.5154307711671064,0.579871158551257,0.39855072463768115,1.6287019533711407,0.0,1487.0604347826086,0.75,0.4499999999999999,2.0,5.0,0.5,10.5,2.5,0.8200000000000001,302.5,0.5,0.5,1.565,0.3201233183856502,0.2976190476190476,0.6666666666666666,0.6333333333333333,0.4254901960784314,0.25000000000000006,0.49199843390234255,0.6441010903457132,0.3333333333333333,1.6008454106280192,0.0,1501.38,0.7766666666666661,0.43,2.6666666666666665,5.0,0.3333333333333333,12.333333333333334,3.0,0.7799999999999999,278.3333333333333,0.6666666666666666,0.3333333333333333,1.8099999999999998,0.30180745187371355,0.33174603174603173,0.6296296296296297,0.6126984126984126,0.3933406266655446,0.27777777777777785,0.4899580244259177,0.6210872505931971,0.3333333333333333,1.6008454106280192,0.0,1501.38,1.1954000000000002,0.434,3.6,4.8,0.4,15.0,3.38,0.764,328.6,1.2,1.0,1.5703999999999998,0.4149830360492084,0.38571428571428573,0.705050505050505,0.6040245775729647,0.4048141088320717,0.4166666666666667,0.4991905296182864,0.6263886493443472,0.3333333333333333,1.6008454106280192,0.0,1498.5040000000001,0.0,-0.2897,0.4672897196261682,1501.38,7.24
