Equipo_A,Equipo_B,wins_A,draws,wins_B,goles_avg_A,goles_avg_B,n_matches
Alemania,Bosnia-Herzegovina,1.0,0.0,0.0,4.5,0.5,2
Alemania,Costa de Marfil,1.0,0.0,0.0,2.0,1.0,1
Alemania,Curazao,1.0,0.0,0.0,7.0,1.0,1
Alemania,EE. UU.,1.0,0.0,0.0,2.0,1.0,1
Alemania,Ecuador,0.0,0.0,1.0,1.0,2.0,1
Alemania,Escocia,1.0,0.0,0.0,5.0,1.0,1
Alemania,España,0.0,1.0,0.0,1.0,1.0,2
Alemania,Francia,0.0,0.0,1.0,0.0,2.0,1
Alemania,Ghana,1.0,0.0,0.0,2.0,1.0,1
Alemania,Inglaterra,0.0,1.0,0.0,2.0,2.0,2
Alemania,Japón,0.0,0.0,1.0,1.0,2.0,1
Alemania,Países Bajos,0.5,0.5,0.0,1.5,1.0,2
Alemania,Portugal,0.0,0.0,1.0,1.0,2.0,1
Alemania,Suiza,0.5,0.5,0.0,2.5,2.0,2
Arabia Saudí,Argentina,1.0,0.0,0.0,2.0,1.0,1
Arabia Saudí,Australia,0.25,0.5,0.25,0.5,0.5,4
Arabia Saudí,Cabo Verde,0.0,1.0,0.0,0.0,0.0,1
Arabia Saudí,Corea del Sur,0.0,1.0,0.0,1.0,1.0,1
Arabia Saudí,EE. UU.,0.0,0.0,1.0,0.0,1.0,1
Arabia Saudí,Egipto,0.0,0.0,1.0,0.0,4.0,1
Arabia Saudí,España,0.0,0.0,1.0,0.0,4.0,1
Arabia Saudí,Haití,1.0,0.0,0.0,1.0,0.0,1
Arabia Saudí,Irak,0.0,1.0,0.0,0.0,0.0,1
Arabia Saudí,Japón,0.25,0.25,0.5,0.25,1.0,4
Arabia Saudí,Jordania,0.5,0.0,0.5,1.5,1.0,2
Arabia Saudí,México,0.0,0.0,1.0,0.5,2.0,2
Arabia Saudí,Senegal,0.0,1.0,0.0,0.0,0.0,1
Arabia Saudí,Uruguay,0.0,1.0,0.0,1.0,1.0,1
Arabia Saudí,Uzbekistán,1.0,0.0,0.0,3.0,0.0,1
Argelia,Argentina,0.0,0.0,1.0,0.0,3.0,1
Argelia,Austria,0.0,1.0,0.0,3.0,3.0,1
Argelia,Jordania,1.0,0.0,0.0,2.0,1.0,1
Argelia,Países Bajos,1.0,0.0,0.0,1.0,0.0,1
Argelia,RD Congo,0.0,1.0,0.0,0.0,0.0,1
Argelia,Uruguay,0.0,1.0,0.0,0.0,0.0,1
Argentina,Australia,1.0,0.0,0.0,2.0,1.0,1
Argentina,Austria,1.0,0.0,0.0,2.0,0.0,1
Argentina,Brasil,0.667,0.333,0.0,1.67,0.33,3
Argentina,Canadá,1.0,0.0,0.0,2.0,0.0,2
Argentina,Colombia,0.2,0.6,0.2,1.0,1.0,5
Argentina,Croacia,1.0,0.0,0.0,3.0,0.0,1
Argentina,Ecuador,0.25,0.5,0.25,0.75,0.75,4
Argentina,Francia,0.0,1.0,0.0,2.0,2.0,1
Argentina,Jordania,1.0,0.0,0.0,3.0,1.0,1
Argentina,México,1.0,0.0,0.0,2.0,0.0,1
Argentina,Paraguay,0.333,0.333,0.333,0.67,0.67,3
Argentina,Países Bajos,0.0,1.0,0.0,2.0,2.0,1
Argentina,Uruguay,0.75,0.0,0.25,1.25,0.5,4
Australia,Corea del Sur,0.0,1.0,0.0,1.0,1.0,1
Australia,EE. UU.,0.0,0.0,1.0,0.0,2.0,1
Australia,Francia,0.0,0.0,1.0,1.0,4.0,1
Australia,Japón,0.25,0.25,0.5,0.75,1.25,4
Australia,Jordania,1.0,0.0,0.0,1.0,0.0,1
Australia,Paraguay,0.0,1.0,0.0,0.0,0.0,1
Australia,Suiza,0.0,1.0,0.0,1.0,1.0,1
Australia,Turquía,1.0,0.0,0.0,2.0,0.0,1
Australia,Túnez,1.0,0.0,0.0,1.0,0.0,1
Australia,Uzbekistán,0.0,1.0,0.0,1.0,1.0,1
Austria,Bosnia-Herzegovina,0.5,0.5,0.0,1.5,1.0,2
Austria,Bélgica,0.0,0.5,0.5,1.5,2.0,2
Austria,Corea del Sur,1.0,0.0,0.0,1.0,0.0,1
Austria,Croacia,0.5,0.0,0.5,2.0,1.5,2
Austria,Escocia,0.0,0.5,0.5,1.0,1.5,2
Austria,Francia,0.0,0.333,0.667,0.33,1.33,3
Austria,Ghana,1.0,0.0,0.0,5.0,1.0,1
Austria,Jordania,1.0,0.0,0.0,3.0,1.0,1
Austria,Noruega,0.5,0.0,0.5,3.0,1.5,2
Austria,Países Bajos,1.0,0.0,0.0,3.0,2.0,1
Austria,Suecia,1.0,0.0,0.0,2.5,0.5,2
Austria,Turquía,0.0,0.0,1.0,1.0,2.0,1
Austria,Túnez,1.0,0.0,0.0,1.0,0.0,1
Bosnia-Herzegovina,Canadá,0.0,1.0,0.0,1.0,1.0,1
Bosnia-Herzegovina,Catar,1.0,0.0,0.0,3.0,1.0,1
Bosnia-Herzegovina,Francia,0.0,0.5,0.5,0.5,1.0,2
Bosnia-Herzegovina,Panamá,0.0,1.0,0.0,1.0,1.0,1
Bosnia-Herzegovina,Países Bajos,0.0,0.5,0.5,1.5,3.0,2
Bosnia-Herzegovina,Portugal,0.0,0.0,1.0,0.0,4.0,2
Bosnia-Herzegovina,Suiza,0.0,0.0,1.0,1.0,4.0,1
Brasil,Colombia,0.4,0.4,0.2,1.0,0.8,5
