Grupo,Equipo,Pts,GF,GC,DG,Posicion
A,México,9,4.57,3.15,1.4200001,1
A,Corea del Sur,6,4.0299997,3.52,0.51,2
A,Sudáfrica,3,3.2,4.21,-1.01,3
A,República Checa,0,3.49,4.41,-0.9200001,4
B,Suiza,7,5.21,3.3700001,1.8399999,1
B,Canadá,7,4.39,3.4,0.99,2
B,Bosnia-Herzegovina,3,3.62,4.69,-1.07,3
B,Catar,0,3.0700002,4.83,-1.7599999,4
C,Marruecos,9,5.44,2.9299998,2.51,1
C,Brasil,6,5.8199997,2.89,2.93,2
C,Escocia,3,3.96,4.7400002,-0.78000003,3
C,Haití,0,2.01,6.67,-4.66,4
D,Turquía,9,4.7,3.36,1.3400002,1
D,EE. UU.,6,4.2200003,3.44,0.78000003,2
D,Australia,3,3.4699998,3.88,-0.41000015,3
D,Paraguay,0,2.8,4.51,-1.71,4
E,Alemania,9,6.07,2.45,3.6200004,1
E,Costa de Marfil,6,4.24,3.41,0.8299999,2
E,Ecuador,3,3.84,3.92,-0.0800001,3
E,Curazao,0,2.12,6.49,-4.37,4
F,Países Bajos,9,5.1899996,3.12,2.07,1
F,Japón,6,4.4300003,3.48,0.9500001,2
F,Suecia,3,3.6100001,5.0299997,-1.42,3
F,Túnez,0,3.11,4.71,-1.6000001,4
G,Bélgica,9,5.77,2.6399999,3.13,1
G,Irán,6,4.24,3.4099998,0.82999986,2
G,Egipto,3,3.44,4.08,-0.64,3
G,Nueva Zelanda,0,2.47,5.79,-3.3200002,4
H,España,9,7.08,2.19,4.89,1
H,Uruguay,6,4.7,3.48,1.22,2
H,Cabo Verde,3,2.88,5.16,-2.28,3
H,Arabia Saudí,0,2.3,6.13,-3.83,4
I,Francia,9,6.3999996,2.48,3.92,1
I,Senegal,6,4.5699997,3.48,1.09,2
I,Noruega,3,3.77,4.7,-0.9299999,3
I,Irak,0,2.21,6.29,-4.08,4
J,Argentina,9,6.12,2.47,3.65,1
J,Austria,6,4.56,3.6799998,0.88,2
J,Argelia,3,3.8600001,3.85,0.01000011,3
J,Jordania,0,1.94,6.48,-4.54,4
K,Portugal,9,5.75,2.83,2.92,1
K,Colombia,6,4.61,3.5,1.1099999,2
K,RD Congo,3,3.1000001,4.56,-1.46,3
K,Uzbekistán,0,2.8200002,5.3900003,-2.5700002,4
L,Inglaterra,9,6.25,2.67,3.5800002,1
L,Croacia,6,5.5,3.28,2.2200003,2
L,Panamá,3,3.09,5.2400002,-2.15,3
L,Ghana,0,2.54,6.19,-3.65,4
