Variable,Importancia
Pred_Goles_L,0.06618213
Pred_Goles_V,0.055482272
Prob_Implicita_ELO,0.053465933
diff_Puntos,0.05156586
diff_Valor_Mercado,0.02764491
avg_Goles_esperados_(xG)_total_Visitante,0.02204361
diff_avg_Córneres_2,0.020133127
diff_avg_Ptos_2,0.019725813
diff_avg_xGA_2,0.019515673
avg_xGA_2_Local,0.017373897
avg_h2h_win_rate_total_Visitante,0.017024802
Peso_Visitante,0.016027492
avg_Ptos_2_Visitante,0.015615172
avg_Córneres_2_Local,0.015599836
avg_Goles_esperados_(xG)_total_Local,0.0153592145
avg_Paradas_Share_2_Visitante,0.015188191
clean_sheet_rate_5_Visitante,0.014890973
avg_h2h_goles_avg_total_Visitante,0.01454339
avg_Goles_2_Visitante,0.014261986
avg_Pases_Exitosos_2_Visitante,0.013432312
diff_h2h_win_rate,0.013348248
avg_Paradas_Share_2_Local,0.013325029
trend_xG_5_Visitante,0.013317374
clean_sheet_rate_5_Local,0.013097416
avg_xGA_2_Visitante,0.012887709
