Fase,Fechas,Local,Visitante,Marcador,Avanza,xG_L,xG_V,Prob_1,Prob_X,Prob_2,P_Avanza_L,P_Avanza_V,Upset,Detalle
Dieciseisavos,28 jun – 3 jul,Alemania,Paraguay,3-0,Alemania,2.09,0.78,75.9,14.4,9.8,83.6,16.4,19.6,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Francia,Suecia,3-1,Francia,2.19,1.05,69.2,19.5,11.3,79.6,20.4,25.6,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Sudáfrica,Canadá,0-1,Canadá,0.98,1.47,22.3,27.0,50.7,35.3,64.7,54.5,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Países Bajos,Marruecos,1-1 (pen),Países Bajos,1.53,1.03,32.9,44.3,22.8,55.5,44.5,80.3,Empate → penaltis
Dieciseisavos,28 jun – 3 jul,Portugal,Croacia,2-1,Portugal,1.69,1.32,43.9,29.1,27.1,58.8,41.2,70.2,Tiempo regular
Dieciseisavos,28 jun – 3 jul,España,Austria,3-0,España,2.37,0.98,74.8,18.4,6.9,84.7,15.3,18.0,Tiempo regular
Dieciseisavos,28 jun – 3 jul,EE. UU.,Bosnia-Herzegovina,2-1,EE. UU.,1.83,1.02,58.5,23.7,17.8,71.0,29.0,40.8,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Bélgica,Senegal,2-0,Bélgica,1.7,0.82,45.9,34.4,19.6,63.8,36.2,56.6,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Brasil,Japón,2-0,Brasil,1.61,0.87,55.0,28.3,16.7,69.9,30.1,43.0,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Costa de Marfil,Noruega,2-1,Costa de Marfil,1.13,1.47,40.2,23.6,36.2,52.1,47.9,92.1,Tiempo regular
Dieciseisavos,28 jun – 3 jul,México,Ecuador,2-1,México,1.33,1.34,44.3,31.7,24.0,60.6,39.4,64.9,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Inglaterra,RD Congo,2-0,Inglaterra,1.85,0.58,80.8,12.6,6.6,87.6,12.4,14.2,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Argentina,Cabo Verde,2-0,Argentina,1.99,0.51,73.7,18.5,7.8,83.7,16.3,19.5,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Australia,Egipto,1-0,Australia,0.95,1.12,40.2,22.0,37.8,51.2,48.8,95.3,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Suiza,Argelia,1-1 (pen),Argelia,1.4,1.02,27.0,37.1,35.9,45.3,54.7,82.9,Empate → penaltis
Dieciseisavos,28 jun – 3 jul,Colombia,Ghana,2-0,Colombia,1.59,0.71,73.6,17.0,9.4,82.7,17.3,20.9,Tiempo regular
Octavos,4 – 7 jul,Alemania,Francia,1-2,Francia,1.26,1.78,27.5,32.9,39.6,43.6,56.4,77.4,Tiempo regular
Octavos,4 – 7 jul,Canadá,Países Bajos,1-2,Países Bajos,1.02,2.1,14.3,29.8,55.9,28.3,71.7,39.5,Tiempo regular
Octavos,4 – 7 jul,Portugal,España,1-2,España,1.32,1.82,15.5,29.5,55.0,29.5,70.5,41.8,Tiempo regular
Octavos,4 – 7 jul,EE. UU.,Bélgica,0-2,Bélgica,0.93,2.04,12.8,32.8,54.5,28.1,71.9,39.1,Tiempo regular
Octavos,4 – 7 jul,Brasil,Costa de Marfil,2-0,Brasil,1.89,0.7,66.9,22.9,10.2,79.2,20.8,26.3,Tiempo regular
Octavos,4 – 7 jul,México,Inglaterra,0-2,Inglaterra,0.88,1.78,14.9,28.6,56.5,28.4,71.6,39.6,Tiempo regular
Octavos,4 – 7 jul,Argentina,Australia,2-0,Argentina,1.69,0.7,71.6,18.9,9.5,81.8,18.2,22.3,Tiempo regular
Octavos,4 – 7 jul,Argelia,Colombia,0-1,Colombia,0.96,1.52,29.3,32.0,38.8,45.0,55.0,81.9,Tiempo regular
Cuartos,9 – 11 jul,Francia,Países Bajos,2-1,Francia,1.69,1.35,40.8,36.6,22.6,59.6,40.4,67.7,Tiempo regular
Cuartos,9 – 11 jul,España,Bélgica,2-1,España,1.55,1.39,43.8,35.4,20.9,62.1,37.9,61.1,Tiempo regular
Cuartos,9 – 11 jul,Brasil,Inglaterra,1-2,Inglaterra,1.28,1.55,16.1,34.2,49.8,32.3,67.7,47.7,Tiempo regular
Cuartos,9 – 11 jul,Argentina,Colombia,2-1,Argentina,1.62,1.01,49.7,34.4,15.9,67.8,32.2,47.5,Tiempo regular
Semifinales,14 – 15 jul,Francia,España,1-1 (pen),España,1.62,1.49,25.1,42.9,32.1,46.2,53.8,86.0,Empate → penaltis
Semifinales,14 – 15 jul,Inglaterra,Argentina,2-1,Inglaterra,1.57,1.32,40.4,36.7,22.9,59.2,40.8,68.8,Tiempo regular
3er Puesto,18 jul,Francia,Argentina,1-1 (pen),Francia,1.59,1.38,31.9,46.6,21.5,55.7,44.3,79.7,Empate → penaltis
Final,19 jul,España,Inglaterra,1-2,Inglaterra,1.41,1.62,28.4,33.6,38.0,45.0,55.0,81.8,Tiempo regular
