,R16,QF,SF,Final,Campeon
Francia,187.4,0.0,55.3,32.4,19.0
Inglaterra,172.9,0.0,49.4,31.8,18.0
Argentina,182.3,0.0,55.9,28.9,14.5
España,163.4,0.0,40.4,22.2,12.4
Brasil,173.8,0.0,32.7,17.8,8.3
Bélgica,171.4,0.0,31.6,16.2,8.2
Marruecos,168.5,0.0,32.2,14.5,6.6
Portugal,136.6,0.0,20.1,9.4,4.4
Colombia,156.9,0.0,24.4,9.1,3.2
México,127.1,0.0,12.3,5.0,1.8
Suiza,143.1,0.0,15.3,5.1,1.6
EE. UU.,128.6,0.0,8.0,2.5,0.7
Canadá,131.5,0.0,8.7,2.3,0.6
Noruega,126.2,0.0,5.6,1.6,0.4
Egipto,117.7,0.0,4.5,0.7,0.1
Paraguay,112.6,0.0,3.9,0.6,0.1
